"","area","area_title","area_type","naics","naics_title","i_group","own_code","occ_code","occ_title","o_group","tot_emp","emp_prse","jobs_1000","loc_quotient","pct_total","h_mean","a_mean","mean_prse","h_pct10","h_pct25","h_median","h_pct75","h_pct90","a_pct10","a_pct25","a_median","a_pct75","a_pct90","annual","hourly"
"468","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","43-9111","Statistical Assistants","detailed","100","13.3","0.10100000000000001","1.5",NA,"21.68","45100","2.6","13.93","17.23","21.82","25.87","29.6","28970","35850","45380","53800","61560",NA,NA
"469","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","43-9199","Office and Administrative Support Workers, All Other","detailed","360","6.1","0.36399999999999999","0.28000000000000003",NA,"20.71","43080","2.4","13.45","17.010000000000002","20.54","24.13","28.52","27970","35370","42730","50180","59320",NA,NA
"470","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","45-0000","Farming, Fishing, and Forestry Occupations","major","3780","9.8000000000000007","3.8450000000000002","1.17",NA,"17.79","37010","2.2000000000000002","12.28","13.89","16.690000000000001","20.16","25.19","25540","28890","34710","41920","52390",NA,NA
"471","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","45-1011","First-Line Supervisors of Farming, Fishing, and Forestry Workers","detailed","**","**","**","**",NA,"27.48","57150","11","14.46","18.45","28.62","34.799999999999997","38.08","30090","38370","59540","72390","79210",NA,NA
"472","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","45-2011","Agricultural Inspectors","detailed","450","8.8000000000000007","0.46200000000000002","4.93",NA,"20.86","43380","2","14.86","17.190000000000001","20.55","24.52","27.43","30900","35760","42740","51010","57060",NA,NA
"473","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","45-2041","Graders and Sorters, Agricultural Products","detailed","350","40.200000000000003","0.35199999999999998","1.5",NA,"14.47","30090","4.4000000000000004","11.98","12.71","13.96","15.82","18.46","24920","26440","29030","32910","38390",NA,NA
"474","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","45-2091","Agricultural Equipment Operators","detailed","1070","19.100000000000001","1.091","5.94",NA,"19.23","40010","3.1","13.98","15.77","17.760000000000002","21.18","28.44","29080","32800","36930","44060","59160",NA,NA
"475","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","45-2092","Farmworkers and Laborers, Crop, Nursery, and Greenhouse","detailed","560","22.6","0.56599999999999995","0.28000000000000003",NA,"15.51","32250","2.5","12.42","13.19","14.46","17.41","21.44","25840","27440","30090","36200","44600",NA,NA
"476","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","45-2093","Farmworkers, Farm, Ranch, and Aquacultural Animals","detailed","1090","17.3","1.111","4.46",NA,"15.66","32560","3.6","10.1","12.49","15.41","18.420000000000002","21.55","21010","25980","32040","38310","44820",NA,NA
"477","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","45-4011","Forest and Conservation Workers","detailed","40","41.3","4.1000000000000002E-2","0.9",NA,"19.670000000000002","40920","5.3","14.15","16.829999999999998","20.37","23.21","25.05","29440","35010","42360","48280","52100",NA,NA
"478","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","47-0000","Construction and Extraction Occupations","major","46420","2.6","47.265000000000001","1.1200000000000001",NA,"22.33","46440","1.1000000000000001","13.29","16.149999999999999","20.18","27.37","35.479999999999997","27640","33590","41970","56920","73790",NA,NA
"479","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","47-1011","First-Line Supervisors of Construction Trades and Extraction Workers","detailed","4810","4.9000000000000004","4.9029999999999996","1.1499999999999999",NA,"31.04","64570","1.5","19.75","24.05","29.72","37.700000000000003","45.35","41080","50020","61810","78420","94340",NA,NA
"480","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","47-2011","Boilermakers","detailed","**","**","**","**",NA,"34.44","71640","7.8","16.850000000000001","28.2","36.82","42.89","47.92","35050","58660","76580","89220","99670",NA,NA
"481","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","47-2021","Brickmasons and Blockmasons","detailed","560","8.8000000000000007","0.56999999999999995","1.38",NA,"24.18","50300","4.4000000000000004","15.63","18.14","25.59","29.06","31.9","32510","37730","53220","60450","66350",NA,NA
"482","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","47-2022","Stonemasons","detailed","**","**","**","**",NA,"16.579999999999998","34490","4.7","15.29","15.92","16.97","18.03","18.66","31800","33110","35300","37490","38810",NA,NA
"483","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","47-2031","Carpenters","detailed","7660","5.8","7.8040000000000003","1.56",NA,"18.989999999999998","39490","1.7","12.06","14.59","18.02","22.76","28.24","25080","30350","37480","47350","58740",NA,NA
"484","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","47-2041","Carpet Installers","detailed","140","49.2","0.14199999999999999","0.8",NA,"*","*","*","*","*","*","*","*","*","*","*","*","*",NA,NA
"485","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","47-2042","Floor Layers, Except Carpet, Wood, and Hard Tiles","detailed","**","**","**","**",NA,"17.84","37110","8.5","9.82","12.88","15.62","20.32","28.78","20430","26800","32490","42260","59870",NA,NA
"486","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","47-2043","Floor Sanders and Finishers","detailed","110","46.3","0.108","3.21",NA,"18.190000000000001","37830","3.1","13.01","15.33","17.670000000000002","19.8","24.56","27060","31890","36750","41190","51090",NA,NA
"487","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","47-2044","Tile and Stone Setters","detailed","180","16.899999999999999","0.18099999999999999","0.66",NA,"18.22","37910","3.6","12.29","14.49","18.190000000000001","21.69","23.99","25570","30150","37830","45110","49900",NA,NA
"488","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","47-2051","Cement Masons and Concrete Finishers","detailed","3320","8.8000000000000007","3.3780000000000001","2.5299999999999998",NA,"19.260000000000002","40050","2.1","13.09","15.39","18.489999999999998","22.68","26.96","27230","32020","38460","47170","56070",NA,NA
"489","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","47-2061","Construction Laborers","detailed","3750","8.1999999999999993","3.8170000000000002","0.55000000000000004",NA,"17.47","36330","1.6","12.77","14.63","16.899999999999999","19.34","23.53","26560","30420","35150","40220","48940",NA,NA
"490","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","47-2071","Paving, Surfacing, and Tamping Equipment Operators","detailed","760","16.7","0.77600000000000002","2.4900000000000002",NA,"20.16","41940","5.7","13.26","15.48","20","23.8","28.56","27590","32190","41600","49510","59410",NA,NA
"491","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","47-2073","Operating Engineers and Other Construction Equipment Operators","detailed","3260","15.1","3.3170000000000002","1.2",NA,"23.17","48190","3.2","15.74","17.75","21.91","27.42","32.119999999999997","32740","36930","45570","57040","66820",NA,NA
"492","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","47-2081","Drywall and Ceiling Tile Installers","detailed","420","27","0.42499999999999999","0.61",NA,"17.82","37070","8.3000000000000007","9.18","12.15","18.809999999999999","22.56","24.63","19090","25270","39120","46930","51230",NA,NA
"493","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","47-2111","Electricians","detailed","5770","4.3","5.8789999999999996","1.25",NA,"25.42","52860","3","15.13","18.07","24.29","31.53","38.58","31460","37590","50510","65580","80240",NA,NA
"494","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","47-2121","Glaziers","detailed","400","35","0.40500000000000003","1.1399999999999999",NA,"20.76","43190","2.9","13","15.74","20.92","25.24","28.94","27030","32730","43510","52500","60190",NA,NA
"495","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","47-2131","Insulation Workers, Floor, Ceiling, and Wall","detailed","270","36.4","0.28000000000000003","1.23",NA,"21.56","44840","5.9","13.66","15.74","18.75","27.25","35.049999999999997","28420","32740","39010","56680","72910",NA,NA
"496","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","47-2132","Insulation Workers, Mechanical","detailed","160","43.4","0.16","0.88",NA,"24.51","50970","5.4","14.9","17.420000000000002","21.79","29.24","40.36","30990","36220","45330","60810","83950",NA,NA
"497","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","47-2141","Painters, Construction and Maintenance","detailed","1510","8.1999999999999993","1.5369999999999999","0.97",NA,"17","35360","8","9.39","11.29","16.239999999999998","20.079999999999998","27.48","19530","23490","33770","41760","57160",NA,NA
"498","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","47-2151","Pipelayers","detailed","190","24.6","0.191","0.77",NA,"20.440000000000001","42510","9.3000000000000007","11.79","15.18","18.2","25.73","33.729999999999997","24520","31580","37860","53510","70150",NA,NA
"499","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","47-2152","Plumbers, Pipefitters, and Steamfitters","detailed","3440","9.8000000000000007","3.5070000000000001","1.1599999999999999",NA,"28.15","58540","2.9","15.69","20.2","28.71","35.65","39.56","32640","42010","59720","74160","82280",NA,NA
"500","31","Nebraska","2","000000","Cross-industry","cross-industry","1235","47-2161","Plasterers and Stucco Masons","detailed","60","45.7","6.3E-2","0.34",NA,"19.940000000000001","41470","4.8","14.27","16.79","19.350000000000001","23.57","27.67","29670","34930","40260","49020","57550",NA,NA
